"name","username","email","password"
"nuser00001","swnu00001","correosfake0001@correo.com","123__"
"nuser00001","swnu00001","correosfake0001@correo.com","234__"
"nuser00001","swnu00001","correosfake0001@correo.com","345__"
"nuser00001","swnu00001","correosfake0001@correo.com","456__"
"nuser00001","swnu00001","correosfake0001@correo.com","678__"
"nuser00001","swnu00001","correosfake0001@correo.com","789__"
"nuser00001","swnu00001","correosfake0001@correo.com","890__"
"nuser00001","swnu00001","correosfake0001@correo.com","901__"
"nuser00001","swnu00001","correosfake0001@correo.com","012__"
"nuser00001","swnu00001","correosfake0011@correo.com","010__"
