"name","username","email","password"
"nuser00001","swnu00001","correosfake0001@correo.com","123__"
"nuser00002","swnu00002","correosfake0002@correo.com","234__"
"nuser00003","swnu00003","correosfake0003@correo.com","345__"
"nuser00004","swnu00004","correosfake0004@correo.com","456__"
"nuser00005","swnu00005","correosfake0005@correo.com","678__"
"nuser00006","swnu00006","correosfake0006@correo.com","789__"
"nuser00007","swnu00007","correosfake0007@correo.com","890__"
"nuser00008","swnu00008","correosfake0008@correo.com","901__"
"nuser00009","swnu00009","correosfake0009@correo.com","012__"
"nuser00010","swnu00010","correosfake0010@correo.com","010__"
